gm_name,n_grams,counts,percent
,лезвия нп,3,0.05363847666726265
,лента клейкая,9,0.16091543000178796
,лента малярная,2,0.03575898444484177
,лента противоскользящая,2,0.03575898444484177
,линейка образная,2,0.03575898444484177
,линолеума leister,5,0.08939746111210442
,лист гипсокартонный,4,0.07151796888968354
,лиственница сорт,4,0.07151796888968354
,лицевой коричневый,2,0.03575898444484177
,лицевой рельефный,2,0.03575898444484177
,лм ip,2,0.03575898444484177
,луя мат,2,0.03575898444484177
,магнитная фиксатор,6,0.1072769533345253
,магнитный врезной,2,0.03575898444484177
,майка большой,2,0.03575898444484177
,майка малый,2,0.03575898444484177
,массив телескопическая,5,0.08939746111210442
,мастика битумно,2,0.03575898444484177
,мат баз,3,0.05363847666726265
,материнская dab,2,0.03575898444484177
,матовая баз,2,0.03575898444484177
,матовая латунь,3,0.05363847666726265
,матовый никель,9,0.16091543000178796
,машина bionic,3,0.05363847666726265
,машина шлифовальная,3,0.05363847666726265
,мебель массив,6,0.1072769533345253
,мелок ремонта,18,0.3218308600035759
,месяцевидный нож,2,0.03575898444484177
,меховая кресло,6,0.1072769533345253
,мин плита,2,0.03575898444484177
,мкм шир,8,0.14303593777936707
,многослойная ранчо,3,0.05363847666726265
,моно отвод,2,0.03575898444484177
,моно труба,2,0.03575898444484177
,монтажным отверстием,6,0.1072769533345253
,монтер метноском,3,0.05363847666726265
,моющаяся база,2,0.03575898444484177
,мпа разметкой,2,0.03575898444484177
,муфта канализационная,2,0.03575898444484177
,муфта комб,13,0.2324333988914715
,муфта переходная,2,0.03575898444484177
,мх антивандальные,2,0.03575898444484177
,набор глад,6,0.1072769533345253
,набор монтажный,2,0.03575898444484177
,набор сварки,5,0.08939746111210442
,накидка меховая,6,0.1072769533345253
,накладка евроцилиндр,13,0.2324333988914715
,накладка ступеньку,2,0.03575898444484177
,наклейки декоретто,10,0.17879492222420884
,напильник ingco,4,0.07151796888968354
,напольные береза,5,0.08939746111210442
,напольные дуб,28,0.5006257822277848
,напольные ольха,5,0.08939746111210442
,напольные сосна,5,0.08939746111210442
,напольный двусторонний,2,0.03575898444484177
,напорная sdr,2,0.03575898444484177
,нар резьба,2,0.03575898444484177
,наружное сити,2,0.03575898444484177
,наружный rico,10,0.17879492222420884
,наружных работ,2,0.03575898444484177
,насадка bionic,8,0.14303593777936707
,насадка columbus,6,0.1072769533345253
,насадка фена,5,0.08939746111210442
,насадка шлифмашинам,2,0.03575898444484177
,насосу dab,6,0.1072769533345253
,настенная заглушкой,2,0.03575898444484177
,настоящих ягод,2,0.03575898444484177
,нейлоновый монтажным,6,0.1072769533345253
,нерж ст,12,0.2145539066690506
,нерж сталь,7,0.1251564455569462
,нержавеющей стали,3,0.05363847666726265
,ниппелей danfoss,2,0.03575898444484177
,нож алмазн,2,0.03575898444484177
,нож нп,3,0.05363847666726265
,нп fl,3,0.05363847666726265
,нп frd,2,0.03575898444484177
,нп kraftool,5,0.08939746111210442
,нп stayer,3,0.05363847666726265
,нп зубр,4,0.07151796888968354
,нп палермо,5,0.08939746111210442
,нп рисунком,3,0.05363847666726265
,нп уют,2,0.03575898444484177
,нп хлопковый,2,0.03575898444484177
,нп эльф,6,0.1072769533345253
,нр altstream,2,0.03575898444484177
,нр вр,3,0.05363847666726265
,нр ртп,12,0.2145539066690506
,нф голицынский,20,0.3575898444484177
,нью йорк,3,0.05363847666726265
,обводное колено,3,0.05363847666726265
