gm_name,gm_alt_name,gm_synonyms,counts
Болгарки (УШМ),ШЛИФМАШИНА УГЛОВАЯ ЭЛЕКТРИЧЕСКАЯ,"УГЛОВАЯ ШЛИФОВАЛЬНАЯ МАШИНА,KTRNHJBYCNHEVTYNS,БОЛГАРКА,УГЛОШЛИФОВАЛЬНАЯ МАШИНА,ЭЛЕКТРОИНСТРУМЕНТ,ЭЛЕКТРОИНСТРУМЕНТЫ",4
Блоки газобетонные,БЛОКИ ГАЗОБЕТОННЫЕ,"ГАЗОСИЛИКАТ,ГАЗОСИЛИКАТНЫЙ,ПЕНОБЛОК,ГАЗОБЛОК,СТРОИТЕЛЬНЫЕ БЛОКИ,ГАЗОБЕТОН",6
Электрические ленточные пилы,ЭЛЕКТРИЧЕСКАЯ ЛЕНТОЧНАЯ ПИЛА,"KTRNHJBYCNHEVTYN,GBKF,KTYNJXYFZ GBKF,ЛЕНТОЧНАЯ ПИЛА,ПИЛА,ЭЛЕКТРОИНСТРУМЕНТ,ЭЛЕКТРОИНСТРУМЕНТЫ,KTRNHJBYCNHEVTYNS",2
Межкомнатные двери,МЕЖКОМНАТНЫЕ ДВЕРИ,"БЛОК ДВЕРНОЙ,ПОЛОТНО ДВЕРНОЕ,СБОР ДВЕРИ,КОМПЛЕКТ ДВЕРИ",23
OSB,OSB,"OSB,ЮСБИ,ЮСБ,USB,ОЗБ,ОСБ,ОСП",1
муфты для шлангов,МУФТА ДЛЯ САДОВОГО ШЛАНГА,,22
Краска,КРАСКА,"ВОДОЭМУЛЬСИОННАЯ,ВОДОЭМУЛЬСИОНКА,КРАСКА ВД,КРАСКА ВОДНОДИСПЕРСИОННАЯ,АКРИЛОВАЯ КРАСКА",17
Строительные сетки,СТРОИТЕЛЬНЫЕ СЕТКИ,"СЕТКА ФАСАДНАЯ,СТЕКЛОСЕТКА,СЕТКА МАЛЯРНАЯ,СЕТКА СТЕКЛОТКАНЕВАЯ,СЕТКА ШТУКАТУРНАЯ,СЕТКА СТЕКЛЯННАЯ",1
Лебедки ручные,ЛЕБЕДКА РУЧНАЯ,,27
Металлоштакетник,МЕТАЛЛОШТАКЕТНИК,,46
Ножовки,НОЖОВКИ,"НАЖОВКИ,НОЖОВКИ ПО ДЕРЕВУ,YJ*DRB,НОЖОВКИ ПО МЕТАЛЛУ",1
Панели потолочные,ПАНЕЛИ ПОТОЛОЧНЫЕ,"ПАНЕЛЬ ПВХ,ПЕЧЕНЮШКА,ПОДВЕСНОЙ ПОТОЛОК,ПАНЕЛЬ ДЛЯ ПОТОЛКА,ПОТОЛОК,ШАШКИ",2
Проволока,ПРОВОЛОКА,"GHJDJKRF,МЕТАЛОПРОКАТ,МЕТАЛЛОПРОКАТ,GHJDJKJRF,ПРОВОЛКА,VTNFKKJGHJRFN",1
Комплект для подключения счетчиков воды,КОМПЛЕКТ ДЛЯ ПОДКЛЮЧЕНИЯ СЧЕТЧИКОВ ВОДЫ,"ПРИСОЕДИНИТЕЛЬНЫЙ НАБОР,ШТУЦЕРА ДЛЯ СЧЕТЧИКА,ШТУЦЕР",3
Расширительный мембранный бак,РАСШИРИТЕЛЬНЫЙ МЕМБРАННЫЙ БАК,,98
Плоскогубцы,ПЛОСКОГУБЦЫ,"ПАССАТИЖЫ,ПОСАТИЖЫ,ПАСАТИЖЫ,ГУБЦЫ",21
Держатель универсальный для коробки саморезов,ДЕРЖАТЕЛЬ УНИВЕРСАЛЬНЫЙ ДЛЯ КОРОБКИ САМОРЕЗОВ,,1
Огнеупорные и жаростойкие смеси,ОГНЕУПОРНЫЕ И ЖАРОСТОЙКИЕ СМЕСИ,"ТЕРМОСТОЙКИЕ СМЕСИ,СМЕСИ ДЛЯ ПЕЧЕЙ И КАМИНОВ,ОГНЕСТОЙКИЕ СМЕСИ,ЖАРОСТОЙКИЕ СМЕСИ",27
Кладочные и монтажные смеси,КЛАДОЧНЫЕ И МОНТАЖНЫЕ СМЕСИ,"КЛЕЙ ДЛЯ БЛОКОВ,МОНТАЖНАЯ СМЕСЬ,МОНТАЖНЫЙ СОСТАВ,КЛАДОЧНЫЙ СОСТАВ,КЛАДОЧНЫЙ РАСТВОР,БЛОЧНЫЙ КЛЕЙ,ГИПСОБЕТОН,КЛАДОЧНАЯ СМЕСЬ",6
